CR Number,Title,Severity,CR Type,CR Status,Created By,CR Assignee,Created On,Parent CR,Software Image Integration Build
4158155,[Kaanapali][VoiceAIDspASRRef][Zipformer] Lost all or part of the transcription during KPI testing,Medium,Bug,InProgress,haiyxiao,vthullim,5/22/2025 7:48:49 AM,NA,LPAIDSP.HT.1.2-00718.1-KAANAPALI-1
4158155,[Kaanapali][VoiceAIDspASRRef][Zipformer] Lost all or part of the transcription during KPI testing,Medium,Bug,InProgress,haiyxiao,vthullim,5/22/2025 7:48:49 AM,NA,LPAIDSP.HT.1.5-00201.2-BALSAM-1
4158155,[Kaanapali][VoiceAIDspASRRef][Zipformer] Lost all or part of the transcription during KPI testing,Medium,Bug,InProgress,haiyxiao,vthullim,5/22/2025 7:48:49 AM,NA,MPSS.CY.2.0-00334-KUNO_GEN_TEST-1
4158155,[Kaanapali][VoiceAIDspASRRef][Zipformer] Lost all or part of the transcription during KPI testing,Medium,Bug,InProgress,haiyxiao,vthullim,5/22/2025 7:48:49 AM,NA,LPAIDSP.HT.1.5.c1-00096-BALSAM-1
4158155,[Kaanapali][VoiceAIDspASRRef][Zipformer] Lost all or part of the transcription during KPI testing,Medium,Bug,InProgress,haiyxiao,vthullim,5/22/2025 7:48:49 AM,NA,MPSS.KI.0.1-01568-KAANAPALI_GENNRRFNMCCONVPICTOR_TEST-1
4159191,[FR103071][Kaanapali][SDZ]Speaker Diarization function did not work properly when using speaker playback contents from male & famale,Medium,Bug,Closed,jialinl,jinzhang,5/23/2025 2:56:07 AM,NA,LA.QXSI.16.0-10500-qssi.1-1
4159191,[FR103071][Kaanapali][SDZ]Speaker Diarization function did not work properly when using speaker playback contents from male & famale,Medium,Bug,Closed,jialinl,jinzhang,5/23/2025 2:56:07 AM,NA,NA
4159191,[FR103071][Kaanapali][SDZ]Speaker Diarization function did not work properly when using speaker playback contents from male & famale,Medium,Bug,Closed,jialinl,jinzhang,5/23/2025 2:56:07 AM,NA,LA.QISI.16.0-00100-qssi.1-1
4159191,[FR103071][Kaanapali][SDZ]Speaker Diarization function did not work properly when using speaker playback contents from male & famale,Medium,Bug,Closed,jialinl,jinzhang,5/23/2025 2:56:07 AM,NA,LA.QSSI.16.0-21800-qssi.1-1
4159334,[FR97187][Kaanapali][ConversationRecording] UI color display error at the top of the page,Medium,Bug,InProgress,mincyao,zhijsun,5/23/2025 5:28:46 AM,NA,LA.QSSI.17.0-05002-qssi.1-2
4159334,[FR97187][Kaanapali][ConversationRecording] UI color display error at the top of the page,Medium,Bug,InProgress,mincyao,zhijsun,5/23/2025 5:28:46 AM,NA,NA
4159334,[FR97187][Kaanapali][ConversationRecording] UI color display error at the top of the page,Medium,Bug,InProgress,mincyao,zhijsun,5/23/2025 5:28:46 AM,NA,LA.QXSI.16.0-10500-qssi.1-1
4159334,[FR97187][Kaanapali][ConversationRecording] UI color display error at the top of the page,Medium,Bug,InProgress,mincyao,zhijsun,5/23/2025 5:28:46 AM,NA,LA.QISI.16.0-00100-qssi.1-1
4159334,[FR97187][Kaanapali][ConversationRecording] UI color display error at the top of the page,Medium,Bug,InProgress,mincyao,zhijsun,5/23/2025 5:28:46 AM,NA,LA.QSSI.16.0-21800-qssi.1-1
4159514,[Kaanapali.LA.1.0][FR103075][SDZ] No timestamp on speaker diarization output on UI,Medium,Bug,Duplicate,haiyxiao,jinzhang,5/23/2025 6:58:40 AM,4163738,NA
4159896,[FR103071][Kaanapali][SDZ]Session status displayed was incorrect after delete all sessions once,Medium,Bug,Closed,jialinl,yongfeiz,5/23/2025 10:17:38 AM,NA,LA.QISI.16.0-00100-qssi.1-1
4159896,[FR103071][Kaanapali][SDZ]Session status displayed was incorrect after delete all sessions once,Medium,Bug,Closed,jialinl,yongfeiz,5/23/2025 10:17:38 AM,NA,NA
4159896,[FR103071][Kaanapali][SDZ]Session status displayed was incorrect after delete all sessions once,Medium,Bug,Closed,jialinl,yongfeiz,5/23/2025 10:17:38 AM,NA,LA.QSSI.16.0-22000-qssi.1-1
4159896,[FR103071][Kaanapali][SDZ]Session status displayed was incorrect after delete all sessions once,Medium,Bug,Closed,jialinl,yongfeiz,5/23/2025 10:17:38 AM,NA,LA.QSSI.17.0-05002-qssi.1-2
4159896,[FR103071][Kaanapali][SDZ]Session status displayed was incorrect after delete all sessions once,Medium,Bug,Closed,jialinl,yongfeiz,5/23/2025 10:17:38 AM,NA,LA.QXSI.16.0-10500-qssi.1-1
